@relation 1_context_10000_weight
@attribute att1 {0, 1}
@attribute att2 {0, 1}
@attribute att3 {0, 1}
@attribute att4 {0, 1}
@attribute att5 {0, 1}
@attribute att6 {0, 1}
@attribute att7 {0, 1}
@attribute att8 {0, 1}
@attribute att9 {0, 1}
@attribute att10 {0, 1}
@attribute att11 {0, 1}
@attribute att12 {0, 1}
@attribute att13 {0, 1}
@attribute att14 {0, 1}
@attribute att15 {0, 1}
@attribute att16 {0, 1}
@attribute att17 {0, 1}
@attribute att18 {0, 1}
@attribute att19 {0, 1}
@attribute att20 {0, 1}
@attribute att21 {0, 1}
@attribute att22 {0, 1}
@attribute att23 {0, 1}
@attribute att24 {0, 1}
@attribute att25 {0, 1}
@attribute att26 {0, 1}
@attribute att27 {0, 1}
@attribute att28 {0, 1}
@attribute att29 {0, 1}
@attribute att30 {0, 1}
@attribute att31 {0, 1}
@attribute att32 {0, 1}
@attribute att33 {0, 1}
@attribute att34 {0, 1}
@attribute att35 {0, 1}
@attribute att36 {0, 1}
@attribute att37 {0, 1}
@attribute att38 {0, 1}
@attribute att39 {0, 1}
@attribute att40 {0, 1}
@attribute att41 {0, 1}
@attribute att42 {0, 1}
@attribute att43 {0, 1}
@attribute att44 {0, 1}
@attribute Class {'2', '4', '3', '1', '5'}


@data
1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,'1'
0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,'1'
0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,'1'
0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,'1'
0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,'1'
0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,'1'
0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,'1'
0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,'1'
0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,'1'
0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,'1'
