@relation 1_blocks_10000blocks
@attribute att1 {0, 1}
@attribute att2 {0, 1}
@attribute att3 {0, 1}
@attribute att4 {0, 1}
@attribute att5 {0, 1}
@attribute att6 {0, 1}
@attribute att7 {0, 1}
@attribute att8 {0, 1}
@attribute Class {'6', '8', '7', '2', '4', '5', '3', '1'}


@data
1,0,1,1,1,1,0,0,'3'
1,1,1,1,1,0,1,1,'8'
1,0,0,1,0,1,0,1,'1'
1,1,1,1,1,0,1,1,'8'
1,1,1,1,1,0,1,1,'8'
1,1,1,1,1,0,1,1,'8'
1,0,0,1,1,1,0,0,'2'
1,1,1,0,1,0,1,1,'7'
1,0,0,1,0,1,0,1,'1'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,0,1,0,1,'1'
1,0,0,1,0,1,1,1,'5'
1,0,1,1,1,1,0,0,'3'
1,1,1,0,1,0,1,1,'7'
1,0,0,1,1,1,0,0,'2'
1,0,0,1,0,1,0,1,'1'
1,0,0,1,0,1,1,1,'5'
1,1,1,1,1,1,0,0,'4'
1,0,0,1,0,1,0,1,'1'
1,0,0,1,0,1,1,1,'6'
1,0,1,1,1,1,0,0,'3'
1,1,1,1,1,0,1,1,'8'
1,1,1,0,1,0,1,1,'7'
1,1,1,1,1,1,0,0,'4'
1,0,0,1,0,1,1,1,'5'
1,1,1,1,1,1,0,0,'4'
1,0,0,1,0,1,0,1,'1'
1,0,0,1,0,1,0,1,'1'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,0,1,0,1,'1'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,0,1,1,1,'5'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,0,1,1,1,'6'
1,1,1,1,1,1,0,0,'4'
1,1,1,0,1,0,1,1,'7'
1,1,1,0,1,0,1,1,'7'
1,1,1,1,1,0,1,1,'8'
1,1,1,1,1,0,1,1,'8'
1,0,0,1,1,1,0,0,'2'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,0,1,1,1,'5'
1,1,1,1,1,1,0,0,'4'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,0,1,1,1,'5'
1,0,0,1,0,1,0,1,'1'
1,0,0,1,0,1,0,1,'1'
1,1,1,1,1,0,1,1,'8'
1,1,1,0,1,0,1,1,'7'
1,0,0,1,1,1,0,0,'2'
1,1,1,1,1,1,0,0,'4'
1,0,0,1,1,1,0,0,'2'
1,1,1,0,1,0,1,1,'7'
1,0,0,1,0,1,0,1,'1'
1,0,0,1,1,1,0,0,'2'
1,1,1,0,1,0,1,1,'7'
1,1,1,0,1,0,1,1,'7'
1,1,1,0,1,0,1,1,'7'
1,1,1,0,1,0,1,1,'7'
1,1,1,0,1,0,1,1,'7'
1,0,1,1,1,1,0,0,'3'
1,0,0,1,1,1,0,0,'2'
1,1,1,1,1,0,1,1,'8'
1,1,1,1,1,0,1,1,'8'
1,0,0,1,0,1,0,1,'1'
1,1,1,0,1,0,1,1,'7'
1,0,0,1,0,1,0,1,'1'
1,0,1,1,1,1,0,0,'3'
1,0,0,1,0,1,0,1,'1'
1,1,1,1,1,1,0,0,'4'
1,0,1,1,1,1,0,0,'3'
1,0,0,1,0,1,1,1,'6'
1,1,1,1,1,1,0,0,'4'
1,0,0,1,1,1,0,0,'2'
1,1,1,0,1,0,1,1,'7'
1,0,0,1,0,1,1,1,'6'
1,1,1,0,1,0,1,1,'7'
1,1,1,1,1,0,1,1,'8'
1,0,0,1,0,1,0,1,'1'
1,1,1,0,1,0,1,1,'7'
1,0,1,1,1,1,0,0,'3'
1,1,1,0,1,0,1,1,'7'
1,0,1,1,1,1,0,0,'3'
1,0,0,1,0,1,1,1,'5'
1,1,1,1,1,0,1,1,'8'
1,0,0,1,1,1,0,0,'2'
1,0,0,1,0,1,0,1,'1'
1,0,0,1,1,1,0,0,'2'
1,0,0,1,0,1,1,1,'6'
1,1,1,1,1,1,0,0,'4'
1,0,0,1,0,1,1,1,'5'
1,0,1,1,1,1,0,0,'3'
1,0,0,1,1,1,0,0,'2'
1,1,1,1,1,0,1,1,'8'
1,1,1,1,1,0,1,1,'8'
1,0,0,1,0,1,0,1,'1'
1,1,1,1,1,0,1,1,'8'
1,1,1,0,1,0,1,1,'7'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,1,1,0,0,'2'
1,1,1,1,1,0,1,1,'8'
1,1,1,1,1,0,1,1,'8'
1,1,1,0,1,0,1,1,'7'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,0,1,1,1,'5'
1,0,0,1,0,1,1,1,'5'
1,0,0,1,0,1,1,1,'5'
1,0,0,1,1,1,0,0,'2'
1,1,1,1,1,0,1,1,'8'
1,0,0,1,0,1,1,1,'5'
1,0,0,1,1,1,0,0,'2'
1,1,1,1,1,1,0,0,'4'
1,0,0,1,0,1,1,1,'5'
1,0,1,1,1,1,0,0,'3'
1,1,1,0,1,0,1,1,'7'
1,0,0,1,0,1,0,1,'1'
1,1,1,0,1,0,1,1,'7'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,1,1,0,0,'2'
1,0,0,1,0,1,1,1,'5'
1,1,1,0,1,0,1,1,'7'
1,0,0,1,1,1,0,0,'2'
1,0,0,1,0,1,1,1,'5'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,0,1,1,1,'5'
1,0,0,1,0,1,1,1,'6'
1,1,1,0,1,0,1,1,'7'
1,0,0,1,0,1,1,1,'5'
1,1,1,1,1,0,1,1,'8'
1,0,0,1,0,1,0,1,'1'
1,0,1,1,1,1,0,0,'3'
1,0,0,1,0,1,0,1,'1'
1,1,1,1,1,0,1,1,'8'
1,1,1,1,1,0,1,1,'8'
1,0,0,1,1,1,0,0,'2'
1,0,0,1,0,1,1,1,'6'
1,1,1,1,1,0,1,1,'8'
1,0,0,1,1,1,0,0,'2'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,1,1,0,0,'2'
1,1,1,1,1,1,0,0,'4'
1,1,1,1,1,1,0,0,'4'
1,0,1,1,1,1,0,0,'3'
1,1,1,0,1,0,1,1,'7'
1,1,1,1,1,1,0,0,'4'
1,0,1,1,1,1,0,0,'3'
1,0,0,1,1,1,0,0,'2'
1,0,0,1,0,1,1,1,'6'
1,0,0,1,0,1,0,1,'1'
