#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

12523 -1 12747 -1 -2	12	1
12883 -1 18659 -1 -2	23	1
33429 -1 46281 -1 -2	57	1
12621 -1 -2	1488	2
33437 -1 33445 -1 -2	72	1
12711 -1 12763 -1 -2	33	1
12879 -1 34897 -1 -2	40	1
33457 -1 34885 -1 -2	48	1
12447 -1 12803 -1 -2	29	1
10877 -1 12547 -1 -2	38	1
12835 -1 18639 -1 -2	22	1
12891 -1 35197 -1 -2	30	1
12479 -1 32217 -1 -2	15	1
12487 -1 -2	2268	2
10861 -1 12867 -1 -2	38	1
10881 -1 12423 -1 -2	5	1
18559 -1 32209 -1 -2	4	1
10877 -1 12339 -1 -2	156	1
10849 -1 34889 -1 -2	37	2
18659 -1 34917 -1 -2	21	1
12527 -1 18671 -1 -2	24	1
18619 -1 18663 -1 -2	35	1
12751 -1 12875 -1 -2	25	1
18527 -1 18675 -1 -2	7	1
12691 -1 33433 -1 -2	101	1
10307 -1 12779 -1 -2	108	1
10299 -1 18819 -1 -2	3	1
35153 -1 35185 -1 -2	58	1
12407 -1 35181 -1 -2	31	1
12615 -1 12779 -1 -2	26	1
10307 -1 32209 -1 -2	118	1
12899 -1 18555 -1 -2	23	1
12547 -1 12807 -1 -2	5	1
12603 -1 46293 -1 -2	4	1
10853 -1 18647 -1 -2	21	1
10311 -1 12515 -1 -2	15	1
34909 -1 35157 -1 -2	35	1
12659 -1 12735 -1 -2	16	1
12487 -1 12771 -1 -2	54	1
12407 -1 12443 -1 -2	57	1
48671 -1 48675 -1 -2	85	1
56093 -1 56373 -1 -2	2	1
12475 -1 34929 -1 -2	33	1
12863 -1 12867 -1 -2	70	1
12475 -1 18583 -1 -2	23	1
10335 -1 12655 -1 -2	49	1
12447 -1 18651 -1 -2	22	1
12375 -1 35165 -1 -2	30	1
10343 -1 33465 -1 -2	7	1
18663 -1 -2	88	1
12423 -1 12759 -1 -2	6	1
12835 -1 18551 -1 -2	23	1
33469 -1 34893 -1 -2	89	1
12475 -1 34913 -1 -2	36	1
12763 -1 12831 -1 -2	66	1
10311 -1 12735 -1 -2	46	1
10299 -1 12819 -1 -2	83	1
12831 -1 -2	1180	1
18479 -1 18567 -1 -2	4	1
12823 -1 33441 -1 -2	38	2
35157 -1 35165 -1 -2	87	1
10307 -1 12643 -1 -2	33	1
12419 -1 12611 -1 -2	8	1
12555 -1 12559 -1 -2	82	1
12367 -1 12859 -1 -2	29	1
34921 -1 35181 -1 -2	40	1
18683 -1 35185 -1 -2	29	2
10335 -1 33445 -1 -2	14	1
12299 -1 18755 -1 -2	22	1
35165 -1 46293 -1 -2	21	1
12523 -1 12687 -1 -2	90	1
35149 -1 54677 -1 -2	2	1
12347 -1 18763 -1 -2	2	1
12483 -1 34893 -1 -2	215	1
12483 -1 12755 -1 -2	53	1
12703 -1 54661 -1 -2	55	1
10331 -1 -2	690	1
30283 -1 54669 -1 -2	15	1
12695 -1 32209 -1 -2	77	1
34897 -1 -2	682	1
12895 -1 18643 -1 -2	26	1
12827 -1 12859 -1 -2	49	1
12703 -1 12863 -1 -2	42	1
12403 -1 18767 -1 -2	24	1
12375 -1 12795 -1 -2	28	1
12343 -1 12831 -1 -2	35	1
10315 -1 12679 -1 -2	225	2
12739 -1 34893 -1 -2	29	1
12795 -1 18563 -1 -2	28	1
12795 -1 12827 -1 -2	121	1
12875 -1 33445 -1 -2	42	1
12687 -1 35149 -1 -2	39	1
12539 -1 32217 -1 -2	6	1
10829 -1 18611 -1 -2	24	1
12687 -1 12735 -1 -2	32	1
12399 -1 12687 -1 -2	31	1
12419 -1 12431 -1 -2	80	2
33433 -1 35185 -1 -2	33	1
12895 -1 18863 -1 -2	246	1
10303 -1 32209 -1 -2	108	1
10877 -1 48687 -1 -2	18	1
10861 -1 12459 -1 -2	47	1
10311 -1 12767 -1 -2	34	1
12679 -1 18467 -1 -2	2	1
12583 -1 18679 -1 -2	2	1
12355 -1 18447 -1 -2	30	1
10335 -1 12551 -1 -2	8	1
12839 -1 18603 -1 -2	22	1
33453 -1 34905 -1 -2	95	1
33465 -1 34917 -1 -2	39	1
12411 -1 12659 -1 -2	9	1
12715 -1 12719 -1 -2	117	1
10877 -1 47285 -1 -2	6	1
18443 -1 35181 -1 -2	25	1
10307 -1 12463 -1 -2	96	2
47961 -1 -2	191	1
12407 -1 12691 -1 -2	30	1
18511 -1 -2	145	1
12483 -1 34885 -1 -2	103	1
10307 -1 12395 -1 -2	13	1
10833 -1 12527 -1 -2	16	1
12683 -1 -2	779	1
12339 -1 48667 -1 -2	65	1
12335 -1 12551 -1 -2	19	1
12595 -1 35169 -1 -2	34	1
12691 -1 18691 -1 -2	8	1
18443 -1 34913 -1 -2	22	1
18431 -1 35185 -1 -2	26	1
12371 -1 18747 -1 -2	22	1
34929 -1 48651 -1 -2	5	1
12527 -1 12663 -1 -2	43	1
33433 -1 -2	891	1
10339 -1 10861 -1 -2	19	1
12531 -1 12895 -1 -2	91	1
12799 -1 12887 -1 -2	41	1
18451 -1 34909 -1 -2	21	1
35173 -1 -2	92	1
12607 -1 12631 -1 -2	32	1
12799 -1 12835 -1 -2	55	1
12347 -1 12371 -1 -2	23	1
12419 -1 48655 -1 -2	1	1
10311 -1 12487 -1 -2	615	3
18703 -1 18727 -1 -2	17	1
12367 -1 12483 -1 -2	39	1
18539 -1 18579 -1 -2	11	1
12471 -1 12867 -1 -2	35	1
12415 -1 12447 -1 -2	12	1
12835 -1 18743 -1 -2	22	1
12407 -1 12503 -1 -2	23	1
12407 -1 12419 -1 -2	72	1
12799 -1 12839 -1 -2	53	1
12891 -1 18419 -1 -2	21	1
33453 -1 54669 -1 -2	12	1
12615 -1 18695 -1 -2	3	1
12483 -1 12695 -1 -2	189	1
33457 -1 33465 -1 -2	93	1
10865 -1 33433 -1 -2	44	1
12355 -1 34905 -1 -2	42	1
18647 -1 34917 -1 -2	21	1
12621 -1 12847 -1 -2	23	1
54669 -1 -2	152	1
10339 -1 33461 -1 -2	5	1
12483 -1 12859 -1 -2	41	1
12467 -1 34893 -1 -2	46	1
12771 -1 -2	671	1
12603 -1 12663 -1 -2	24	1
