#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 -1 1 -1 -2	70650	186
4 -1 4 -1 -2	18570	11
2 -1 2 -1 -2	28506	24
2 5 -1 -2	27709	15
1 3 -1 -2	19975	23
5 -1 -2	83671	29
3 -1 5 -1 -2	22674	14
3 -1 1 -1 -2	21603	30
1 5 -1 -2	58721	70
1 -1 5 -1 -2	61318	68
5 -1 1 -1 -2	61810	72
3 5 -1 -2	21740	6
1 -1 -2	78307	60
2 -1 1 -1 -2	27049	36
4 5 -1 -2	18649	12
1 -1 3 -1 -2	21824	22
2 -1 -2	35459	9
1 2 -1 -2	24492	22
5 -1 5 -1 -2	77235	41
4 -1 1 -1 -2	18786	25
1 -1 6 -1 -2	6363	7
1 -1 2 -1 -2	27270	29
1 -1 4 -1 -2	18891	26
6 -1 5 -1 -2	6354	2
6 -1 3 -1 -2	2682	1
5 -1 4 -1 -2	20126	9
3 -1 3 -1 -2	22143	16
4 -1 5 -1 -2	19886	13
3 -1 -2	28139	11
5 -1 2 -1 -2	29654	11
6 -1 2 -1 -2	3241	2
4 -1 -2	24379	14
5 -1 3 -1 -2	22905	13
2 -1 5 -1 -2	29118	16
6 -1 -2	7922	6
3 4 -1 -2	6234	3
3 -1 2 -1 -2	11008	5
6 -1 4 -1 -2	2647	1
5 -1 6 -1 -2	6579	3
2 -1 6 -1 -2	3159	2
3 -1 4 -1 -2	7941	3
2 3 -1 -2	8927	3
1 4 -1 -2	17334	6
6 -1 1 -1 -2	6209	1
2 -1 4 -1 -2	9949	3
4 -1 2 -1 -2	10322	5
2 4 -1 -2	7985	2
2 -1 3 -1 -2	10970	3
5 6 -1 -2	6135	1
4 -1 3 -1 -2	7980	4
1 6 -1 -2	5662	1
6 -1 6 -1 -2	5160	1
4 -1 6 -1 -2	2377	1
2 6 -1 -2	2439	1
