#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

12395 -1 34901 -1 -2	33	1
18655 -1 35201 -1 -2	23	1
18427 -1 18615 -1 -2	55	1
12855 -1 12907 -1 -2	28	1
10307 -1 12655 -1 -2	117	1
18831 -1 33457 -1 -2	5	1
12367 -1 18651 -1 -2	22	1
18787 -1 18855 -1 -2	17	1
10295 -1 12879 -1 -2	44	1
12327 -1 33465 -1 -2	3	1
12407 -1 35177 -1 -2	32	1
12835 -1 34889 -1 -2	40	1
12621 -1 18863 -1 -2	171	1
12723 -1 12827 -1 -2	51	1
10857 -1 12655 -1 -2	23	1
18535 -1 18831 -1 -2	3	1
10311 -1 -2	2371	6
10877 -1 48675 -1 -2	47	1
18459 -1 18659 -1 -2	27	1
32209 -1 52973 -1 -2	13	1
12491 -1 35153 -1 -2	30	1
34905 -1 48675 -1 -2	4	1
12695 -1 -2	1422	2
10849 -1 12399 -1 -2	30	1
33429 -1 33457 -1 -2	68	1
33449 -1 34909 -1 -2	36	1
12679 -1 12695 -1 -2	256	1
12495 -1 32205 -1 -2	41	1
34913 -1 48635 -1 -2	5	1
10331 -1 12487 -1 -2	66	1
12743 -1 -2	462	2
10315 -1 -2	3449	3
10307 -1 12627 -1 -2	116	1
10315 -1 18811 -1 -2	4	1
47277 -1 48703 -1 -2	4	1
12399 -1 12687 -1 -2	31	1
12355 -1 12395 -1 -2	61	1
12747 -1 -2	511	1
10307 -1 12703 -1 -2	254	1
12743 -1 32213 -1 -2	30	1
18627 -1 18787 -1 -2	8	1
12411 -1 12459 -1 -2	30	1
12695 -1 12703 -1 -2	615	1
12743 -1 32221 -1 -2	12	1
12487 -1 12703 -1 -2	631	2
10311 -1 10837 -1 -2	13	1
12695 -1 34893 -1 -2	109	1
12767 -1 12779 -1 -2	52	1
12819 -1 -2	1113	1
12807 -1 12867 -1 -2	101	1
12803 -1 34925 -1 -2	32	1
12571 -1 -2	676	2
12347 -1 18811 -1 -2	3	1
12547 -1 12875 -1 -2	14	1
10327 -1 33437 -1 -2	28	1
12299 -1 18647 -1 -2	22	1
30315 -1 52985 -1 -2	1	1
10833 -1 12675 -1 -2	60	2
33469 -1 -2	3612	7
12483 -1 18603 -1 -2	33	1
12527 -1 12775 -1 -2	15	1
47949 -1 48655 -1 -2	9	1
12347 -1 12355 -1 -2	113	1
10315 -1 12795 -1 -2	135	1
10849 -1 12907 -1 -2	11	1
10865 -1 48707 -1 -2	21	1
12531 -1 18863 -1 -2	7	1
12463 -1 -2	797	3
12511 -1 18847 -1 -2	4	1
12407 -1 12559 -1 -2	20	1
12471 -1 12823 -1 -2	41	1
12803 -1 12831 -1 -2	99	1
12687 -1 12831 -1 -2	124	1
10299 -1 12651 -1 -2	24	1
12343 -1 18703 -1 -2	2	1
10865 -1 12683 -1 -2	51	1
10299 -1 -2	721	2
12407 -1 18847 -1 -2	2	1
12667 -1 32213 -1 -2	36	1
12763 -1 -2	696	1
12807 -1 18439 -1 -2	25	1
12795 -1 35169 -1 -2	37	1
12367 -1 12795 -1 -2	30	1
12603 -1 -2	648	3
12887 -1 34921 -1 -2	36	1
12871 -1 18439 -1 -2	25	1
10857 -1 12771 -1 -2	35	1
12887 -1 33433 -1 -2	34	1
18547 -1 18651 -1 -2	27	1
35165 -1 47273 -1 -2	8	1
12343 -1 34917 -1 -2	43	1
18567 -1 18583 -1 -2	35	1
18799 -1 -2	140	1
12747 -1 18711 -1 -2	3	1
12675 -1 12883 -1 -2	87	2
12859 -1 34909 -1 -2	30	1
12807 -1 33449 -1 -2	77	1
10307 -1 -2	2797	3
12531 -1 18583 -1 -2	24	1
12367 -1 12891 -1 -2	28	1
12795 -1 35209 -1 -2	30	1
10311 -1 12367 -1 -2	13	1
12695 -1 34897 -1 -2	111	1
18743 -1 33433 -1 -2	21	1
10315 -1 32209 -1 -2	104	1
12803 -1 12883 -1 -2	50	1
12579 -1 12687 -1 -2	9	1
10319 -1 12643 -1 -2	8	1
12679 -1 12895 -1 -2	411	1
12621 -1 18671 -1 -2	13	1
12621 -1 -2	1488	2
12719 -1 -2	377	1
12895 -1 -2	3623	2
12335 -1 34929 -1 -2	13	1
12823 -1 18695 -1 -2	2	1
12687 -1 33445 -1 -2	40	1
10833 -1 18691 -1 -2	9	1
12523 -1 35193 -1 -2	31	1
12739 -1 52961 -1 -2	3	1
10295 -1 12515 -1 -2	9	1
18767 -1 33457 -1 -2	21	1
10307 -1 12795 -1 -2	180	2
10319 -1 12471 -1 -2	24	1
12583 -1 18451 -1 -2	2	1
18459 -1 18547 -1 -2	31	1
12643 -1 46293 -1 -2	5	1
18419 -1 18603 -1 -2	27	1
12355 -1 12555 -1 -2	42	1
10295 -1 12871 -1 -2	51	1
12463 -1 12703 -1 -2	87	1
18683 -1 18751 -1 -2	30	1
12515 -1 12579 -1 -2	6	1
12423 -1 12443 -1 -2	11	1
10877 -1 -2	1389	1
12863 -1 18767 -1 -2	22	1
33429 -1 47289 -1 -2	1	1
18699 -1 20803 -1 -2	2	1
12483 -1 33429 -1 -2	82	1
12695 -1 12847 -1 -2	52	1
10841 -1 12443 -1 -2	6	1
18631 -1 34913 -1 -2	21	1
12527 -1 34913 -1 -2	33	1
47957 -1 -2	627	1
12691 -1 -2	1002	3
10837 -1 12487 -1 -2	17	1
18563 -1 35161 -1 -2	25	1
12703 -1 12859 -1 -2	44	1
12695 -1 34885 -1 -2	118	1
18439 -1 18551 -1 -2	34	1
12823 -1 35149 -1 -2	32	1
12795 -1 12831 -1 -2	359	1
12471 -1 34901 -1 -2	35	1
10307 -1 12867 -1 -2	36	1
10295 -1 10311 -1 -2	738	2
12555 -1 35165 -1 -2	14	1
12435 -1 33457 -1 -2	31	1
18635 -1 47949 -1 -2	1	1
12395 -1 46289 -1 -2	18	1
12483 -1 -2	2049	3
12683 -1 35185 -1 -2	32	1
12855 -1 12859 -1 -2	40	1
12711 -1 12719 -1 -2	101	2
10295 -1 12647 -1 -2	87	1
12459 -1 12871 -1 -2	32	1
10331 -1 12727 -1 -2	11	1
10291 -1 12831 -1 -2	72	1
12479 -1 33433 -1 -2	55	1
12807 -1 18611 -1 -2	23	1
12695 -1 12895 -1 -2	266	1
12875 -1 18595 -1 -2	33	1
12851 -1 12879 -1 -2	42	1
55859 -1 -2	4	1
18879 -1 18883 -1 -2	26	2
12487 -1 12695 -1 -2	256	1
10861 -1 48711 -1 -2	27	1
12683 -1 -2	779	2
10315 -1 12591 -1 -2	11	1
12611 -1 18863 -1 -2	12	1
32201 -1 32209 -1 -2	190	2
47289 -1 48663 -1 -2	11	1
10311 -1 12571 -1 -2	181	1
12831 -1 34885 -1 -2	79	1
35213 -1 47293 -1 -2	4	1
18587 -1 33465 -1 -2	22	1
34889 -1 35205 -1 -2	27	1
47949 -1 -2	512	1
12891 -1 18635 -1 -2	21	1
12459 -1 18567 -1 -2	22	1
18671 -1 18707 -1 -2	13	1
12875 -1 35177 -1 -2	39	1
12703 -1 -2	1948	3
32221 -1 -2	233	1
30311 -1 -2	64	1
10845 -1 12891 -1 -2	3	1
10299 -1 12795 -1 -2	85	1
18735 -1 33425 -1 -2	2	1
12331 -1 -2	208	1
12395 -1 18639 -1 -2	27	1
18475 -1 -2	81	1
12479 -1 12491 -1 -2	72	1
10311 -1 12483 -1 -2	469	1
12795 -1 33453 -1 -2	73	1
12675 -1 -2	553	1
12475 -1 33437 -1 -2	33	1
32209 -1 -2	516	1
12395 -1 18547 -1 -2	27	1
33449 -1 33465 -1 -2	141	1
18527 -1 18691 -1 -2	43	1
12691 -1 34889 -1 -2	102	1
12763 -1 35201 -1 -2	4	1
10303 -1 10319 -1 -2	21	1
12703 -1 32213 -1 -2	571	2
12679 -1 34929 -1 -2	35	1
10295 -1 12703 -1 -2	259	1
12683 -1 35161 -1 -2	34	1
33449 -1 46289 -1 -2	90	1
18567 -1 18711 -1 -2	6	1
18599 -1 35197 -1 -2	24	1
10841 -1 48687 -1 -2	7	1
12371 -1 18543 -1 -2	23	1
30267 -1 30315 -1 -2	8	1
10829 -1 12483 -1 -2	52	1
12447 -1 -2	388	1
12567 -1 33425 -1 -2	6	1
12775 -1 35165 -1 -2	8	1
10849 -1 12407 -1 -2	29	1
12779 -1 34889 -1 -2	31	1
12627 -1 12695 -1 -2	106	2
12807 -1 12871 -1 -2	57	1
12447 -1 12503 -1 -2	11	1
12523 -1 35181 -1 -2	35	1
18443 -1 18563 -1 -2	35	1
12679 -1 35197 -1 -2	28	1
12743 -1 12879 -1 -2	13	1
10865 -1 12795 -1 -2	49	1
34913 -1 35197 -1 -2	29	1
12663 -1 12799 -1 -2	25	1
12367 -1 12419 -1 -2	105	1
