#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 -1 5 -1 4 5 -1 -2	13050	1
5 -1 2 -1 -2	29654	4
1 3 -1 5 -1 1 -1 -2	14119	4
1 2 -1 4 -1 1 -1 -2	6764	2
4 -1 1 5 -1 4 -1 -2	10671	2
1 3 -1 4 -1 -2	6471	1
1 -1 2 -1 1 5 -1 -2	19239	2
1 -1 1 -1 4 -1 6 -1 -2	1619	1
1 4 -1 1 -1 1 -1 -2	13132	2
5 -1 5 -1 1 -1 -2	53691	3
2 -1 1 -1 1 -1 1 -1 -2	18106	2
5 -1 5 -1 1 -1 4 -1 -2	12559	1
1 -1 5 -1 1 -1 -2	51936	6
1 5 -1 3 -1 1 -1 -2	15330	2
4 5 -1 4 -1 1 -1 -2	10446	1
1 -1 6 -1 5 -1 -2	4935	1
4 5 -1 1 3 -1 -2	5764	3
5 -1 4 -1 5 -1 5 -1 -2	13829	1
3 -1 1 -1 1 4 -1 -2	5441	1
1 -1 4 -1 5 -1 1 -1 -2	11921	1
1 -1 1 -1 1 -1 6 -1 -2	4345	1
1 6 -1 6 -1 1 -1 -2	3179	1
5 -1 1 2 -1 2 -1 -2	15374	1
1 -1 4 -1 3 -1 -2	6391	1
1 -1 1 2 3 -1 -2	6023	2
2 -1 3 -1 3 -1 3 -1 -2	4965	1
1 -1 1 -1 4 -1 1 -1 -2	12917	3
1 -1 5 -1 1 -1 3 -1 -2	14155	3
5 -1 4 5 -1 3 -1 -2	6034	1
1 -1 1 -1 1 5 -1 -2	45397	13
3 -1 1 -1 1 -1 -2	17988	6
2 -1 2 -1 1 -1 1 -1 -2	15338	2
4 -1 4 -1 1 5 -1 -2	10876	1
1 -1 2 -1 1 3 -1 -2	7645	1
1 -1 5 -1 -2	61318	5
2 -1 3 5 -1 3 -1 -2	6537	1
1 4 -1 5 -1 1 -1 -2	12363	1
1 -1 1 -1 5 -1 -2	52303	5
1 5 -1 2 -1 1 -1 -2	19395	4
1 4 -1 4 5 -1 -2	10647	3
2 -1 5 -1 3 -1 -2	9085	2
1 -1 3 6 -1 5 -1 -2	1362	2
2 4 -1 1 4 -1 -2	4882	2
1 3 -1 3 -1 1 -1 -2	12865	1
1 -1 1 -1 1 -1 -2	61214	14
2 5 -1 1 2 -1 -2	16148	1
1 5 -1 4 -1 1 -1 -2	13476	2
2 -1 2 -1 2 5 -1 -2	16347	2
3 -1 1 5 -1 6 -1 -2	2043	2
2 -1 1 -1 1 2 -1 -2	16027	2
1 -1 1 3 -1 3 -1 -2	13119	1
2 -1 5 -1 2 -1 -2	21420	1
5 -1 1 4 -1 -2	14820	1
1 -1 -2	78307	11
2 -1 2 5 -1 1 -1 -2	16225	1
3 5 -1 1 2 -1 -2	7680	1
1 -1 1 5 -1 1 -1 -2	45339	9
1 -1 1 -1 4 -1 4 -1 -2	9827	1
2 5 -1 3 -1 5 -1 -2	8043	2
1 -1 1 -1 5 -1 5 -1 -2	41713	5
5 -1 4 -1 1 -1 -2	15226	1
1 -1 2 -1 4 -1 2 -1 -2	5265	1
1 2 -1 4 -1 2 -1 -2	5761	1
1 5 -1 1 -1 -2	52736	8
5 -1 1 4 -1 1 -1 -2	12610	1
4 -1 -2	24379	1
4 -1 1 -1 3 5 -1 -2	5578	2
1 -1 4 -1 1 -1 3 -1 -2	5188	1
1 -1 3 -1 3 6 -1 -2	1234	1
6 -1 5 -1 5 -1 6 -1 -2	3028	1
1 6 -1 1 -1 5 -1 -2	4122	3
1 -1 2 5 -1 4 -1 -2	6886	1
5 -1 1 -1 1 2 -1 -2	18078	4
3 -1 1 -1 3 -1 1 -1 -2	11845	2
1 -1 1 -1 5 -1 1 -1 -2	41831	10
6 -1 1 6 -1 5 -1 -2	2992	1
1 -1 6 -1 2 -1 -2	2659	1
1 2 5 -1 1 -1 -2	17548	3
1 5 -1 5 -1 1 -1 -2	45651	3
2 5 -1 2 -1 5 -1 -2	18915	1
1 -1 1 -1 1 6 -1 -2	4364	2
1 -1 5 -1 1 2 -1 -2	18087	3
3 -1 2 5 -1 -2	9251	2
1 -1 5 -1 3 -1 1 -1 -2	13971	3
5 -1 1 -1 4 -1 5 -1 -2	12595	2
5 -1 4 -1 3 -1 2 -1 -2	3137	1
1 -1 5 -1 1 5 -1 -2	45392	6
2 -1 1 -1 6 -1 3 -1 -2	1056	1
1 -1 2 5 -1 3 -1 -2	7659	1
5 -1 5 -1 5 -1 1 -1 -2	44084	1
5 -1 5 -1 5 -1 2 -1 -2	21286	1
1 5 -1 1 -1 1 -1 -2	45478	8
6 -1 1 -1 1 -1 4 -1 -2	1670	1
1 -1 2 -1 1 -1 1 -1 -2	18239	4
1 -1 1 5 -1 2 -1 -2	19465	2
5 -1 5 -1 5 -1 4 -1 -2	14318	2
3 4 -1 1 4 -1 -2	3889	1
1 -1 2 -1 5 -1 1 -1 -2	17394	3
5 -1 5 -1 5 -1 -2	67993	2
1 -1 3 -1 1 2 -1 -2	7532	1
