#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

12343 -1 12367 -1 12471 -1 12643 -1 12703 -1 12803 -1 18479 -1 18519 -1 18527 -1 18775 -1 32201 -1 33445 -1 -2	1	1
10841 -1 12551 -1 12583 -1 12679 -1 12683 -1 12783 -1 12803 -1 12819 -1 12843 -1 18419 -1 18551 -1 18723 -1 18735 -1 18779 -1 33425 -1 -2	1	1
10331 -1 10837 -1 12531 -1 12583 -1 12603 -1 12747 -1 12763 -1 18495 -1 18547 -1 18631 -1 33441 -1 33461 -1 34901 -1 34913 -1 -2	1	1
12327 -1 12423 -1 12475 -1 12491 -1 12627 -1 12739 -1 12747 -1 18459 -1 18559 -1 18715 -1 33469 -1 46289 -1 -2	1	1
12375 -1 12479 -1 12483 -1 12531 -1 12615 -1 12703 -1 12751 -1 12831 -1 12835 -1 18459 -1 18479 -1 18527 -1 18599 -1 18779 -1 18795 -1 18879 -1 27385 -1 33449 -1 35157 -1 35181 -1 -2	1	1
12339 -1 12403 -1 12475 -1 12487 -1 12571 -1 12695 -1 12739 -1 18603 -1 18647 -1 18819 -1 18827 -1 18875 -1 18879 -1 35149 -1 35173 -1 -2	1	1
10299 -1 10829 -1 12471 -1 12835 -1 12839 -1 12907 -1 18459 -1 18515 -1 18587 -1 18635 -1 18871 -1 33465 -1 35153 -1 -2	1	1
12367 -1 12399 -1 12443 -1 12635 -1 12759 -1 18507 -1 18559 -1 18743 -1 18807 -1 18883 -1 33453 -1 35169 -1 35185 -1 -2	1	1
10315 -1 12335 -1 12347 -1 12399 -1 12531 -1 12611 -1 18599 -1 18715 -1 18795 -1 18863 -1 18871 -1 32205 -1 34913 -1 35169 -1 -2	1	1
12327 -1 12531 -1 12663 -1 18423 -1 18571 -1 18627 -1 18631 -1 18671 -1 18715 -1 18731 -1 18767 -1 18775 -1 18875 -1 18879 -1 33453 -1 34925 -1 -2	1	1
10339 -1 10865 -1 12339 -1 12563 -1 12743 -1 18631 -1 18699 -1 18723 -1 18731 -1 18755 -1 33461 -1 34905 -1 34909 -1 46281 -1 -2	1	1
10833 -1 12359 -1 12395 -1 12607 -1 12787 -1 18615 -1 18659 -1 18715 -1 18759 -1 34905 -1 -2	1	1
