#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 -1 -2	78307	4304
5 -1 -2	83671	1694
4 -1 -2	24379	512
1 -1 1 -1 -2	70650	326
6 -1 -2	7922	134
3 -1 -2	28139	624
1 -1 1 -1 1 -1 -2	61214	17
2 -1 2 -1 -2	28506	34
2 -1 -2	35459	838
1 2 -1 1 -1 -2	21787	6
2 -1 1 -1 -2	27049	68
1 5 -1 -2	58721	113
1 -1 4 -1 -2	18891	38
2 5 -1 -2	27709	17
3 -1 2 -1 -2	11008	11
1 3 -1 -2	19975	27
1 -1 2 -1 -2	27270	54
1 -1 1 -1 4 -1 -2	16021	6
2 -1 5 -1 1 -1 -2	21703	2
3 -1 1 -1 -2	21603	30
1 5 -1 1 -1 -2	52736	11
1 -1 5 -1 -2	61318	126
2 -1 4 -1 -2	9949	8
1 2 -1 -2	24492	31
1 -1 1 3 -1 -2	18024	2
1 -1 3 -1 -2	21824	46
5 -1 1 -1 -2	61810	122
4 -1 1 -1 -2	18786	46
1 -1 5 -1 1 -1 -2	51936	10
5 -1 4 -1 -2	20126	21
5 -1 5 -1 -2	77235	79
1 2 5 -1 -2	19671	1
1 -1 1 -1 2 -1 -2	23030	8
4 -1 1 -1 1 -1 -2	15541	3
5 -1 2 -1 -2	29654	19
6 -1 5 -1 -2	6354	8
1 6 -1 1 5 -1 -2	4409	1
1 4 -1 -2	17334	25
3 5 -1 -2	21740	18
3 -1 2 -1 1 5 -1 -2	7771	1
4 -1 2 -1 -2	10322	6
1 -1 1 -1 4 5 -1 -2	12746	1
5 -1 5 -1 5 -1 -2	67993	5
3 -1 5 -1 -2	22674	15
1 -1 1 5 -1 -2	52586	6
3 -1 3 -1 -2	22143	22
6 -1 1 -1 4 -1 6 -1 -2	1025	1
2 -1 5 -1 -2	29118	34
3 -1 4 -1 -2	7941	5
1 -1 2 -1 5 -1 -2	21922	3
5 -1 2 -1 5 -1 -2	25519	1
1 -1 2 5 -1 -2	21853	6
3 -1 1 -1 5 -1 -2	17064	3
4 -1 4 -1 4 -1 -2	13331	2
6 -1 4 -1 1 -1 -2	2129	1
3 4 -1 3 -1 4 -1 -2	3348	1
5 -1 5 6 -1 -2	5536	1
1 2 5 -1 1 -1 -2	17548	1
1 6 -1 -2	5662	7
4 -1 4 -1 2 -1 -2	6875	1
4 -1 5 -1 -2	19886	20
2 3 -1 -2	8927	9
2 5 -1 2 -1 -2	22176	2
2 -1 2 4 -1 -2	6299	1
1 -1 1 3 5 -1 -2	14272	2
1 5 -1 1 3 -1 -2	15373	1
1 5 -1 2 -1 -2	22882	6
5 -1 1 -1 1 -1 -2	52159	9
5 -1 3 -1 1 -1 -2	17399	1
2 4 -1 -2	7985	5
1 -1 6 -1 -2	6363	8
1 -1 6 -1 6 -1 4 -1 -2	1059	1
1 -1 4 -1 1 -1 -2	15765	4
6 -1 3 -1 -2	2682	2
4 5 -1 -2	18649	12
4 -1 4 -1 -2	18570	19
5 -1 1 -1 6 -1 1 -1 -2	4000	1
6 -1 2 -1 1 -1 -2	2644	1
1 -1 1 2 -1 -2	22025	4
2 -1 1 5 -1 -2	22467	1
6 -1 1 -1 -2	6209	19
2 -1 3 -1 -2	10970	9
6 -1 3 6 -1 -2	1256	1
4 -1 3 -1 3 5 -1 3 -1 -2	3197	1
2 -1 1 -1 5 -1 -2	21572	2
1 3 -1 1 -1 -2	17784	3
5 -1 6 -1 -2	6579	3
1 -1 5 -1 1 -1 3 -1 5 -1 -2	10761	1
6 -1 1 -1 2 3 -1 1 -1 -2	838	1
1 -1 1 -1 5 -1 -2	52303	8
4 -1 5 -1 5 -1 5 -1 -2	13770	1
4 -1 1 6 -1 -2	1986	1
3 -1 3 -1 1 -1 -2	15537	1
1 4 -1 1 -1 -2	15393	3
1 -1 1 5 -1 5 -1 -2	45429	1
6 -1 1 -1 1 -1 -2	5255	2
3 -1 1 -1 1 -1 -2	17988	4
5 -1 2 5 -1 -2	25347	2
3 5 -1 2 -1 -2	9378	2
1 3 -1 3 -1 -2	15563	1
2 -1 1 -1 1 -1 -2	22511	4
1 -1 1 -1 3 -1 -2	18760	5
1 -1 5 -1 5 -1 -2	52799	6
6 -1 6 -1 5 -1 -2	4056	1
5 -1 5 -1 1 -1 1 -1 -2	42080	1
2 5 -1 1 -1 -2	21778	1
6 -1 1 -1 5 -1 -2	4960	1
1 -1 5 -1 1 4 -1 -2	12656	1
1 2 -1 2 -1 -2	19396	1
1 5 -1 1 5 -1 -2	48120	2
1 -1 1 5 -1 4 -1 -2	13582	1
5 -1 3 -1 -2	22905	26
1 5 -1 3 -1 -2	18058	3
6 -1 2 6 -1 1 -1 -2	1296	1
3 -1 5 -1 1 -1 -2	17042	1
1 -1 3 -1 1 -1 -2	18379	1
4 6 -1 3 -1 1 2 -1 -2	488	1
2 3 -1 6 -1 1 -1 -2	983	1
3 -1 1 5 -1 -2	17774	2
5 -1 1 2 -1 -2	21050	1
1 -1 1 5 -1 1 3 -1 -2	13339	1
5 -1 5 -1 1 -1 -2	53691	1
5 -1 1 3 -1 -2	16805	1
1 -1 6 -1 1 -1 -2	5288	4
3 -1 6 -1 -2	2710	1
5 -1 1 4 -1 1 -1 -2	12610	1
4 6 -1 3 -1 -2	825	1
1 -1 3 4 -1 -2	5156	2
1 -1 2 -1 2 5 -1 -2	15921	1
2 -1 2 5 -1 -2	22115	1
5 -1 1 5 -1 -2	53537	5
1 -1 1 -1 1 -1 3 -1 -2	15373	1
4 5 -1 2 -1 -2	8682	1
2 6 -1 -2	2439	3
2 -1 1 2 -1 -2	19395	1
3 -1 3 -1 3 -1 3 -1 -2	10780	1
2 4 -1 1 -1 -2	6643	2
1 -1 4 -1 5 -1 -2	15175	2
6 -1 5 -1 1 -1 -2	5009	1
2 -1 5 -1 2 -1 5 -1 -2	16889	1
2 -1 2 -1 2 6 -1 -2	1444	1
1 -1 2 -1 1 -1 -2	22807	5
5 -1 1 -1 4 -1 -2	15350	2
3 -1 2 -1 5 -1 -2	9016	1
2 3 -1 1 -1 -2	7370	1
5 -1 1 -1 5 -1 -2	53031	2
2 4 -1 2 -1 2 -1 -2	4723	1
6 -1 1 -1 3 -1 -2	2187	1
1 3 -1 2 -1 -2	8793	1
6 -1 1 -1 2 -1 -2	2617	2
1 -1 2 5 -1 1 -1 -2	18384	1
1 -1 1 -1 1 5 -1 -2	45397	1
5 -1 2 -1 1 -1 -2	22179	2
6 -1 6 -1 -2	5160	6
1 -1 5 -1 2 -1 1 -1 3 5 -1 -2	4991	1
4 -1 4 -1 5 -1 -2	13898	1
1 6 -1 1 -1 -2	5033	2
4 -1 3 -1 -2	7980	8
5 -1 5 -1 4 -1 -2	17439	1
1 -1 5 -1 1 -1 1 -1 -2	41670	1
1 -1 3 -1 3 -1 -2	15643	1
1 2 -1 2 -1 1 -1 -2	16203	1
1 -1 5 -1 5 -1 3 -1 -2	14498	1
3 -1 1 -1 2 -1 -2	8737	1
1 5 -1 4 -1 2 -1 -2	7327	1
1 -1 3 -1 4 -1 -2	6428	1
2 -1 3 -1 5 -1 -2	8952	1
2 -1 5 -1 2 -1 6 -1 -2	1762	1
1 2 -1 4 -1 -2	7932	1
1 -1 6 -1 1 3 -1 -2	1983	1
1 -1 2 6 -1 -2	2050	1
1 3 5 -1 -2	15903	1
5 -1 5 -1 1 -1 6 -1 -2	4057	1
6 -1 4 -1 6 -1 -2	1391	1
4 -1 1 -1 2 -1 -2	7929	1
3 4 -1 -2	6234	5
1 -1 2 -1 3 4 -1 -2	2612	1
5 -1 1 4 -1 -2	14820	1
1 2 4 -1 4 -1 5 -1 -2	3831	1
4 -1 4 5 -1 -2	14038	1
1 3 4 -1 1 -1 -2	4318	1
4 -1 3 5 -1 -2	6938	1
2 -1 1 4 -1 -2	7857	1
4 -1 3 -1 2 -1 -2	3829	1
1 2 -1 1 -1 3 -1 -2	7611	1
4 -1 2 -1 2 -1 -2	7175	1
3 5 -1 1 -1 -2	17274	3
1 -1 2 -1 2 -1 3 -1 -2	6036	1
5 -1 4 5 -1 -2	16940	4
5 -1 1 5 -1 1 -1 5 -1 -2	37283	1
4 -1 1 -1 5 -1 -2	14954	2
2 -1 5 -1 5 -1 -2	24978	1
5 -1 2 5 -1 5 -1 -2	22168	1
6 -1 2 -1 5 -1 -2	2731	1
1 -1 1 -1 3 -1 1 -1 -2	15126	2
1 3 -1 1 -1 2 -1 -2	7529	1
1 -1 4 -1 2 3 -1 -2	2865	1
1 3 -1 1 -1 3 5 -1 -2	10546	1
1 -1 4 -1 2 5 -1 -2	6987	1
1 -1 5 -1 1 -1 5 -1 -2	41630	1
5 -1 2 -1 4 -1 -2	8304	1
4 -1 5 -1 4 -1 -2	13706	1
2 -1 2 -1 2 -1 -2	21226	2
5 -1 1 -1 2 -1 -2	22153	2
3 6 -1 -2	1922	1
5 -1 1 5 -1 4 -1 1 5 -1 -2	10411	1
1 5 6 -1 1 -1 -2	4125	1
5 -1 1 5 -1 1 -1 -2	45637	1
2 6 -1 5 -1 -2	2103	1
3 -1 3 -1 2 5 -1 -2	6615	1
5 -1 2 -1 6 -1 1 -1 -2	2028	1
1 -1 6 -1 1 -1 5 -1 4 -1 -2	1348	1
6 -1 5 -1 1 -1 2 -1 -2	2123	1
6 -1 2 -1 -2	3241	2
1 -1 1 -1 6 -1 -2	5350	1
4 6 -1 -2	1703	1
1 4 -1 3 -1 -2	6462	2
4 -1 1 -1 4 -1 -2	12815	2
5 -1 2 -1 1 3 -1 -2	7536	1
3 5 -1 1 -1 1 -1 -2	14449	1
3 -1 1 4 -1 3 -1 -2	4535	1
5 -1 3 -1 3 -1 -2	16695	1
5 -1 1 -1 3 -1 -2	17533	2
4 -1 4 -1 1 -1 -2	13060	1
6 -1 5 -1 5 -1 -2	5539	1
1 3 -1 1 -1 5 -1 -2	14223	1
1 -1 1 -1 1 3 -1 -2	15681	1
1 3 -1 1 5 -1 -2	15073	1
3 -1 4 -1 4 -1 -2	5285	1
5 -1 5 -1 1 6 -1 -2	4125	1
2 -1 2 -1 1 -1 -2	20151	1
1 3 -1 4 -1 -2	6471	1
1 3 -1 5 -1 -2	16601	1
4 5 -1 1 -1 -2	15060	2
4 -1 5 -1 2 -1 4 -1 -2	5009	1
4 5 -1 1 -1 1 -1 -2	12579	1
3 -1 3 -1 5 -1 1 -1 -2	11268	1
1 4 -1 2 -1 -2	8036	1
1 6 -1 4 -1 -2	2165	1
