#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

17 -1 113 -1 -2	289	1
245 -1 16 -1 -2	59	1
74 -1 66 -1 11 -1 -2	7	1
69 -1 78 -1 79 -1 143 -1 -2	66	1
28 -1 1 -1 134 -1 165 -1 -2	2	1
10 -1 8 -1 117 -1 23 -1 -2	4	1
92 -1 113 -1 -2	14	1
45 -1 -2	329	16
97 -1 -2	52	6
10 -1 57 -1 21 -1 -2	18	1
78 -1 111 -1 31 -1 132 -1 -2	5	1
71 -1 -2	144	5
26 -1 245 -1 -2	432	1
9 -1 46 -1 32 -1 -2	49	1
87 -1 139 -1 169 -1 -2	1	1
5 -1 83 -1 12 -1 50 -1 139 -1 84 -1 -2	1	1
57 -1 74 -1 78 -1 -2	13	1
67 -1 -2	182	13
54 -1 82 -1 128 -1 78 -1 -2	1	1
67 -1 80 -1 110 -1 13 -1 256 -1 -2	1	1
51 -1 94 -1 104 -1 253 -1 -2	1	1
98 -1 67 -1 -2	6	1
58 -1 15 -1 18 -1 73 -1 32 -1 40 -1 -2	1	1
7 -1 41 -1 64 -1 117 -1 -2	2	1
14 -1 21 -1 48 -1 113 -1 252 -1 -2	3	1
27 -1 117 -1 245 -1 246 -1 -2	133	1
27 -1 81 -1 20 -1 246 -1 -2	4	1
18 -1 79 -1 27 -1 117 -1 37 -1 68 -1 259 -1 -2	1	1
14 -1 26 -1 78 -1 -2	81	1
250 -1 -2	159	5
8 -1 -2	638	24
96 -1 65 -1 27 -1 245 -1 101 -1 -2	1	1
30 -1 82 -1 286 -1 -2	1	1
13 -1 88 -1 92 -1 57 -1 -2	1	1
32 -1 19 -1 43 -1 -2	12	1
38 -1 27 -1 46 -1 67 -1 19 -1 48 -1 -2	1	1
17 -1 27 -1 149 -1 19 -1 161 -1 34 -1 -2	1	1
48 -1 149 -1 150 -1 -2	58	1
2 -1 3 -1 27 -1 55 -1 19 -1 -2	1	1
8 -1 17 -1 118 -1 -2	259	1
1 -1 117 -1 285 -1 -2	1	1
7 -1 81 -1 110 -1 -2	1	1
37 -1 17 -1 23 -1 1 -1 -2	6	1
132 -1 245 -1 -2	254	1
54 -1 75 -1 118 -1 253 -1 -2	7	1
15 -1 52 -1 12 -1 79 -1 2 -1 54 -1 57 -1 -2	1	1
52 -1 114 -1 30 -1 81 -1 284 -1 -2	1	1
40 -1 29 -1 50 -1 -2	14	1
16 -1 -2	358	13
37 -1 117 -1 -2	168	1
12 -1 -2	353	20
9 -1 41 -1 118 -1 203 -1 16 -1 -2	1	1
2 -1 8 -1 144 -1 149 -1 -2	46	1
59 -1 16 -1 55 -1 45 -1 -2	3	1
139 -1 143 -1 13 -1 54 -1 309 -1 -2	1	1
117 -1 43 -1 253 -1 -2	79	1
10 -1 80 -1 -2	46	1
117 -1 69 -1 49 -1 46 -1 23 -1 -2	1	1
10 -1 11 -1 -2	206	1
17 -1 61 -1 118 -1 21 -1 -2	16	1
3 -1 80 -1 7 -1 68 -1 59 -1 -2	1	1
32 -1 25 -1 254 -1 -2	5	1
15 -1 29 -1 35 -1 56 -1 -2	6	1
190 -1 245 -1 -2	65	1
40 -1 23 -1 -2	83	1
83 -1 120 -1 16 -1 210 -1 -2	2	1
41 -1 51 -1 -2	78	1
195 -1 -2	157	6
8 -1 64 -1 25 -1 -2	36	1
62 -1 127 -1 84 -1 15 -1 143 -1 -2	1	1
17 -1 -2	652	33
149 -1 -2	267	12
69 -1 -2	204	8
2 -1 119 -1 245 -1 39 -1 -2	3	1
108 -1 -2	100	3
57 -1 42 -1 -2	50	1
76 -1 29 -1 209 -1 -2	3	1
40 -1 1 -1 120 -1 164 -1 16 -1 -2	1	1
145 -1 38 -1 262 -1 -2	3	1
71 -1 35 -1 2 -1 -2	4	1
24 -1 110 -1 -2	116	1
22 -1 110 -1 -2	184	1
125 -1 245 -1 -2	18	1
17 -1 18 -1 35 -1 14 -1 16 -1 210 -1 248 -1 57 -1 -2	1	1
15 -1 -2	394	19
16 -1 245 -1 -2	215	2
48 -1 118 -1 -2	117	1
17 -1 46 -1 47 -1 5 -1 143 -1 -2	2	1
28 -1 65 -1 -2	62	2
50 -1 49 -1 245 -1 -2	42	1
53 -1 -2	330	27
108 -1 43 -1 146 -1 -2	6	1
42 -1 37 -1 10 -1 26 -1 -2	3	1
69 -1 21 -1 195 -1 -2	13	1
138 -1 53 -1 27 -1 104 -1 -2	1	1
1 -1 118 -1 -2	403	4
64 -1 23 -1 -2	35	1
107 -1 11 -1 157 -1 168 -1 253 -1 -2	1	1
10 -1 88 -1 22 -1 -2	7	1
63 -1 -2	193	5
139 -1 -2	329	22
23 -1 149 -1 -2	124	2
9 -1 54 -1 -2	186	2
74 -1 245 -1 76 -1 -2	9	1
5 -1 87 -1 53 -1 6 -1 23 -1 -2	1	1
36 -1 88 -1 253 -1 32 -1 -2	2	1
3 -1 179 -1 -2	18	1
36 -1 2 -1 76 -1 -2	4	1
30 -1 144 -1 -2	164	1
14 -1 9 -1 55 -1 108 -1 109 -1 11 -1 -2	1	1
17 -1 14 -1 -2	180	1
35 -1 90 -1 14 -1 197 -1 -2	1	1
48 -1 31 -1 113 -1 12 -1 61 -1 190 -1 -2	1	1
41 -1 -2	366	19
119 -1 143 -1 29 -1 -2	10	1
22 -1 -2	474	18
44 -1 64 -1 33 -1 253 -1 -2	5	1
128 -1 16 -1 36 -1 83 -1 24 -1 84 -1 -2	1	1
11 -1 33 -1 9 -1 -2	10	1
189 -1 35 -1 -2	4	1
2 -1 17 -1 -2	227	2
90 -1 10 -1 84 -1 36 -1 -2	1	1
17 -1 23 -1 59 -1 139 -1 245 -1 -2	10	1
18 -1 48 -1 259 -1 -2	14	1
39 -1 4 -1 69 -1 90 -1 51 -1 49 -1 -2	1	1
8 -1 1 -1 94 -1 -2	14	1
144 -1 248 -1 -2	55	1
17 -1 21 -1 43 -1 15 -1 -2	3	1
53 -1 10 -1 59 -1 34 -1 -2	3	1
35 -1 16 -1 -2	178	2
15 -1 117 -1 133 -1 146 -1 149 -1 54 -1 61 -1 -2	1	1
24 -1 132 -1 -2	102	1
76 -1 32 -1 107 -1 79 -1 -2	1	1
125 -1 253 -1 32 -1 -2	3	1
54 -1 28 -1 -2	64	1
54 -1 45 -1 71 -1 -2	8	1
1 -1 -2	680	37
11 -1 245 -1 -2	308	1
83 -1 26 -1 111 -1 247 -1 -2	1	1
259 -1 -2	93	6
2 -1 149 -1 253 -1 -2	116	1
4 -1 113 -1 21 -1 195 -1 -2	3	1
50 -1 -2	288	14
46 -1 14 -1 72 -1 69 -1 -2	1	1
29 -1 99 -1 117 -1 54 -1 59 -1 -2	3	1
14 -1 77 -1 -2	30	1
28 -1 76 -1 20 -1 -2	6	1
20 -1 25 -1 -2	122	1
17 -1 147 -1 -2	85	1
143 -1 -2	626	35
246 -1 -2	420	16
74 -1 136 -1 15 -1 -2	3	1
51 -1 -2	262	11
32 -1 -2	371	17
8 -1 1 -1 26 -1 32 -1 54 -1 182 -1 63 -1 -2	1	1
34 -1 143 -1 -2	183	1
88 -1 17 -1 36 -1 72 -1 90 -1 -2	1	1
83 -1 72 -1 -2	15	1
79 -1 190 -1 -2	28	1
21 -1 36 -1 62 -1 -2	12	1
79 -1 110 -1 7 -1 89 -1 -2	2	1
8 -1 17 -1 197 -1 32 -1 -2	7	1
26 -1 119 -1 121 -1 31 -1 -2	1	1
1 -1 47 -1 -2	234	4
52 -1 44 -1 -2	53	2
69 -1 31 -1 11 -1 33 -1 -2	2	1
24 -1 111 -1 -2	22	1
118 -1 -2	439	25
8 -1 25 -1 209 -1 59 -1 -2	3	1
31 -1 16 -1 -2	102	1
33 -1 88 -1 101 -1 21 -1 250 -1 -2	1	1
31 -1 14 -1 51 -1 65 -1 -2	1	1
31 -1 261 -1 -2	18	1
76 -1 118 -1 144 -1 -2	36	1
52 -1 38 -1 133 -1 253 -1 74 -1 -2	1	1
60 -1 68 -1 88 -1 132 -1 42 -1 214 -1 29 -1 -2	1	1
4 -1 35 -1 56 -1 70 -1 -2	2	1
90 -1 24 -1 50 -1 39 -1 112 -1 -2	1	1
19 -1 67 -1 -2	48	1
2 -1 -2	363	15
9 -1 26 -1 17 -1 114 -1 -2	8	1
23 -1 113 -1 132 -1 54 -1 245 -1 -2	6	1
9 -1 -2	590	26
22 -1 29 -1 58 -1 246 -1 -2	13	1
55 -1 149 -1 50 -1 -2	6	1
37 -1 38 -1 139 -1 259 -1 -2	5	1
146 -1 -2	162	9
1 -1 3 -1 -2	169	2
133 -1 36 -1 -2	28	1
30 -1 -2	344	23
133 -1 -2	338	20
34 -1 -2	324	16
65 -1 105 -1 17 -1 91 -1 150 -1 245 -1 -2	1	1
8 -1 45 -1 -2	258	1
17 -1 22 -1 146 -1 210 -1 23 -1 -2	1	1
30 -1 11 -1 133 -1 -2	20	1
17 -1 46 -1 35 -1 77 -1 143 -1 67 -1 68 -1 -2	1	1
14 -1 76 -1 20 -1 31 -1 53 -1 191 -1 -2	1	1
7 -1 -2	336	12
15 -1 118 -1 -2	170	1
71 -1 38 -1 36 -1 23 -1 -2	2	1
4 -1 11 -1 44 -1 -2	34	1
21 -1 -2	317	14
53 -1 22 -1 83 -1 178 -1 -2	1	1
66 -1 -2	170	11
70 -1 36 -1 86 -1 260 -1 -2	1	1
11 -1 19 -1 149 -1 84 -1 -2	1	1
40 -1 -2	317	18
4 -1 41 -1 -2	154	2
79 -1 27 -1 245 -1 -2	39	1
13 -1 -2	476	16
60 -1 -2	209	8
35 -1 -2	595	32
48 -1 73 -1 -2	42	1
57 -1 70 -1 4 -1 218 -1 -2	1	1
8 -1 21 -1 -2	238	1
5 -1 55 -1 119 -1 38 -1 18 -1 -2	1	1
24 -1 7 -1 36 -1 108 -1 86 -1 179 -1 59 -1 -2	1	1
28 -1 7 -1 15 -1 20 -1 -2	5	1
25 -1 -2	318	18
31 -1 13 -1 -2	86	1
72 -1 27 -1 79 -1 211 -1 65 -1 -2	1	1
120 -1 9 -1 117 -1 114 -1 -2	1	1
