@relation 1_seq-auslan_10000seq-auslan
@attribute att1 {0, 1}
@attribute att2 {0, 1}
@attribute att3 {0, 1}
@attribute att4 {0, 1}
@attribute att5 {0, 1}
@attribute att6 {0, 1}
@attribute att7 {0, 1}
@attribute att8 {0, 1}
@attribute att9 {0, 1}
@attribute att10 {0, 1}
@attribute att11 {0, 1}
@attribute att12 {0, 1}
@attribute Class {'-9', '-7', '-4', '-3', '-12', '-8', '-6', '-5', '-11', '-10'}


@data
1,1,1,1,0,1,1,0,1,1,0,1,'-3'
0,0,1,0,0,0,0,1,0,1,0,1,'-3'
0,0,1,0,0,0,0,0,0,1,0,0,'-3'
1,0,1,0,0,0,0,1,0,1,1,1,'-3'
0,0,1,0,0,0,0,0,0,1,0,0,'-3'
0,0,1,0,0,0,0,0,0,1,0,0,'-3'
0,0,1,0,0,0,0,1,0,1,0,1,'-3'
0,0,1,0,0,0,0,1,0,1,0,1,'-3'
1,0,1,0,0,0,0,1,0,1,1,1,'-3'
1,0,1,0,0,0,0,0,0,1,1,0,'-3'
0,0,1,0,0,0,0,0,0,1,0,0,'-3'
0,0,1,0,0,0,0,1,0,1,0,1,'-3'
0,0,1,0,0,0,0,0,0,1,0,0,'-3'
1,0,1,0,0,0,0,1,0,1,1,1,'-3'
0,0,1,0,0,0,0,0,0,1,0,1,'-3'
0,0,1,0,0,0,0,1,0,1,0,1,'-3'
0,0,1,0,0,0,0,0,0,1,0,0,'-3'
0,0,1,0,0,0,0,0,0,1,0,0,'-3'
0,0,1,0,0,0,0,0,0,1,0,0,'-3'
0,0,1,0,0,0,0,0,0,1,0,0,'-3'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,1,0,1,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,1,0,1,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,1,0,1,1,1,'-4'
1,0,1,0,0,0,0,0,0,1,1,1,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-4'
1,0,1,0,1,0,1,1,0,1,1,1,'-4'
1,0,1,0,0,0,0,0,0,1,1,0,'-5'
1,0,1,0,0,0,0,0,0,1,1,0,'-5'
1,0,1,0,0,0,0,1,0,1,1,1,'-5'
0,0,1,0,0,0,0,1,0,1,0,1,'-5'
1,0,1,0,0,0,0,0,0,1,1,0,'-5'
1,0,1,0,0,0,0,0,0,1,1,0,'-5'
1,0,1,0,0,0,0,0,0,1,1,0,'-5'
1,0,1,0,0,0,0,1,0,1,1,1,'-5'
1,0,1,0,0,0,0,1,0,1,1,1,'-5'
1,0,1,0,0,0,0,0,0,1,1,0,'-5'
1,0,1,0,0,0,0,0,0,1,1,0,'-5'
1,0,1,0,0,0,0,1,0,1,1,1,'-5'
1,0,1,0,0,0,0,0,0,1,1,1,'-5'
1,0,1,0,0,0,0,0,0,1,1,0,'-5'
0,0,1,0,0,0,0,0,0,1,0,0,'-5'
1,0,1,0,0,0,0,0,0,1,1,0,'-5'
0,0,1,0,0,0,0,1,0,1,0,1,'-5'
1,0,1,0,0,0,0,0,0,1,1,0,'-5'
1,0,1,0,0,0,0,0,0,1,1,0,'-5'
1,0,1,0,0,0,0,1,0,1,1,1,'-5'
0,0,1,0,0,0,0,0,0,1,0,1,'-6'
0,0,1,0,0,0,0,0,0,1,0,0,'-6'
0,0,1,0,0,0,0,1,0,1,0,1,'-6'
0,0,1,0,0,0,0,0,0,1,0,1,'-6'
0,0,1,0,0,0,0,0,0,1,0,0,'-6'
0,0,1,0,0,0,0,1,0,1,0,1,'-6'
0,0,1,0,0,0,0,0,0,1,0,0,'-6'
0,0,1,0,0,0,0,0,0,1,0,0,'-6'
0,0,1,0,0,0,0,0,0,1,0,0,'-6'
0,0,1,0,0,0,0,0,0,1,0,0,'-6'
1,0,1,0,0,0,0,0,0,1,1,0,'-6'
0,0,1,0,0,0,0,0,0,1,0,0,'-6'
0,0,1,0,0,0,0,0,0,1,0,0,'-6'
0,0,1,0,0,0,0,1,0,1,0,1,'-6'
0,0,1,0,1,0,1,0,0,1,0,1,'-6'
0,0,1,0,0,0,0,1,0,1,0,1,'-6'
0,0,1,0,0,0,0,0,0,1,0,1,'-6'
1,0,1,0,1,0,1,1,0,1,1,1,'-6'
0,0,1,0,0,0,0,1,0,1,0,1,'-6'
0,0,1,0,0,0,0,1,0,1,0,1,'-6'
1,0,1,0,1,0,1,0,0,1,1,0,'-7'
1,0,1,0,0,0,0,0,0,1,1,0,'-7'
1,0,1,0,0,0,0,0,0,1,1,0,'-7'
1,0,1,0,0,0,0,0,0,1,1,0,'-7'
1,0,1,0,0,0,0,1,0,1,1,1,'-7'
1,0,1,0,0,0,0,0,0,1,1,1,'-7'
1,0,1,0,0,0,0,0,0,1,1,0,'-7'
1,0,1,0,0,0,0,1,0,1,1,1,'-7'
1,0,1,0,0,0,0,0,0,1,1,1,'-7'
1,0,1,0,0,0,0,0,0,1,1,0,'-7'
1,0,1,0,0,0,0,1,0,1,1,1,'-7'
1,0,1,0,0,0,0,0,0,1,1,1,'-7'
1,0,1,0,0,0,0,0,0,1,1,0,'-7'
1,0,1,0,0,0,0,0,0,1,1,0,'-7'
1,0,1,0,1,0,1,0,0,1,1,0,'-7'
1,0,1,0,0,0,0,1,0,1,1,1,'-7'
1,0,1,0,0,0,0,0,0,1,1,0,'-7'
1,0,1,0,0,0,0,0,0,1,1,0,'-7'
1,0,1,0,0,0,0,0,0,1,1,0,'-7'
1,0,1,0,0,0,0,0,0,1,1,0,'-7'
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
0,0,1,0,0,0,0,1,0,1,0,1,'-8'
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
0,0,1,0,0,0,0,1,0,1,0,1,'-8'
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
0,0,1,0,0,0,0,1,0,1,0,1,'-8'
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
0,0,1,0,0,0,0,1,0,1,0,1,'-8'
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
