#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

5 -1 3 5 -1 5 6 -1 2 -1 2 -1 4 5 -1 -2	35	1
1 5 -1 3 5 -1 2 -1 4 -1 2 -1 1 6 -1 3 -1 -2	14	1
6 -1 4 6 -1 1 3 -1 1 -1 5 -1 1 3 6 -1 -2	10	1
5 -1 4 6 -1 1 -1 5 -1 2 -1 2 -1 5 -1 2 3 -1 -2	10	1
3 4 -1 3 -1 1 -1 1 4 -1 1 2 3 -1 6 -1 -2	16	1
1 2 -1 2 -1 1 -1 3 -1 1 5 -1 -2	367	1
1 2 -1 1 5 -1 1 3 5 -1 2 -1 4 5 -1 -2	165	1
2 4 -1 1 4 -1 5 -1 5 6 -1 1 -1 -2	49	1
1 2 -1 6 -1 6 -1 4 5 -1 1 -1 6 -1 1 -1 3 -1 -2	7	1
1 3 -1 2 3 5 -1 1 -1 1 -1 1 2 4 -1 -2	85	1
