#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

2 -1 5 -1 1 -1 -2	21703	1
3 5 -1 1 -1 1 -1 -2	14449	4
4 -1 2 -1 4 6 -1 -2	651	1
5 -1 3 -1 5 -1 -2	19850	1
6 -1 5 -1 5 -1 5 -1 -2	4577	1
4 5 -1 1 -1 -2	15060	1
6 -1 1 -1 1 -1 2 -1 -2	2106	1
3 5 -1 4 -1 -2	6959	1
1 2 -1 1 -1 1 -1 -2	18712	9
1 -1 1 -1 5 -1 -2	52303	5
3 6 -1 1 -1 1 -1 -2	1417	2
1 -1 5 -1 1 -1 2 -1 -2	17657	1
1 -1 1 -1 5 -1 2 -1 -2	17668	3
1 -1 2 -1 3 -1 1 -1 -2	7066	1
4 -1 5 -1 1 -1 2 -1 -2	6314	1
3 -1 5 -1 1 -1 2 -1 -2	6991	1
1 -1 1 -1 5 -1 5 -1 -2	41713	2
2 -1 1 -1 2 -1 4 -1 -2	5254	1
1 -1 1 -1 1 -1 5 -1 -2	42097	6
2 -1 5 -1 1 3 -1 -2	7436	1
1 -1 5 -1 1 3 -1 -2	14502	3
1 5 -1 1 -1 1 -1 -2	45478	10
1 4 -1 1 -1 -2	15393	1
4 -1 1 -1 1 -1 -2	15541	1
4 -1 1 -1 3 -1 5 -1 -2	5101	1
6 -1 3 -1 4 -1 6 -1 -2	551	1
1 5 -1 5 -1 2 -1 -2	20078	1
1 -1 2 5 -1 1 -1 -2	18384	3
4 -1 1 -1 5 -1 5 -1 -2	12103	3
1 -1 4 -1 1 -1 -2	15765	2
2 -1 2 4 -1 1 -1 -2	4993	1
1 -1 1 -1 1 -1 1 -1 -2	49424	16
5 -1 1 -1 1 5 -1 -2	45506	7
1 2 -1 5 -1 6 -1 -2	2230	1
2 -1 1 -1 1 -1 3 -1 -2	7160	1
1 -1 1 2 5 -1 -2	17692	3
6 -1 6 -1 6 -1 -2	3462	1
1 -1 1 -1 1 5 -1 -2	45397	8
2 3 5 -1 1 -1 -2	6132	1
5 -1 5 -1 5 -1 -2	67993	2
1 -1 6 -1 1 6 -1 -2	2908	2
1 -1 4 5 -1 1 -1 -2	12635	2
2 -1 2 -1 1 5 -1 -2	16604	2
1 2 -1 1 5 -1 -2	18871	3
1 3 -1 2 -1 1 -1 -2	7443	2
3 -1 1 2 -1 4 -1 -2	3253	2
5 6 -1 3 -1 -2	2356	1
1 -1 5 -1 1 -1 -2	51936	5
5 -1 5 -1 1 2 -1 -2	18408	2
3 -1 4 -1 4 -1 1 -1 -2	3834	1
1 2 -1 5 -1 1 -1 -2	17728	3
1 -1 4 5 -1 6 -1 -2	1738	1
5 -1 6 -1 4 -1 -2	2299	1
1 -1 4 -1 1 5 -1 -2	13406	4
2 -1 3 -1 2 -1 -2	7886	1
4 -1 1 5 -1 1 -1 -2	13187	1
2 -1 2 5 -1 2 -1 -2	16365	1
5 -1 2 -1 1 5 -1 -2	19783	4
5 -1 5 -1 5 -1 1 -1 -2	44084	2
3 -1 3 5 -1 2 -1 -2	6718	1
1 -1 1 5 -1 5 -1 -2	45429	4
1 4 -1 1 -1 5 -1 -2	12483	1
1 -1 1 -1 5 -1 3 -1 -2	14288	2
1 -1 1 -1 1 4 -1 -2	13425	5
1 -1 5 -1 1 -1 5 -1 -2	41630	5
1 2 -1 1 -1 2 -1 -2	16099	5
1 5 -1 5 -1 4 -1 -2	13950	1
4 -1 1 2 -1 2 -1 -2	5735	1
1 5 -1 1 4 -1 -2	13559	2
1 3 -1 1 -1 1 -1 -2	15184	1
1 4 -1 1 -1 1 -1 -2	13132	1
