#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

2 -1 1 3 -1 -2	8776	1
5 -1 3 5 -1 -2	19696	2
1 5 -1 4 -1 -2	16065	2
1 2 -1 -2	24492	5
2 -1 1 -1 5 -1 -2	21572	9
1 -1 2 -1 1 -1 -2	22807	15
5 -1 1 5 -1 -2	53537	12
1 -1 1 -1 1 -1 -2	61214	54
1 3 -1 -2	19975	3
4 -1 5 -1 1 -1 -2	14966	8
4 -1 1 -1 1 -1 -2	15541	7
5 -1 1 -1 1 -1 -2	52159	29
1 -1 1 -1 2 -1 -2	23030	10
1 5 -1 1 -1 -2	52736	17
1 -1 3 -1 1 -1 -2	18379	7
4 -1 3 -1 -2	7980	1
3 -1 1 -1 1 -1 -2	17988	4
1 4 -1 1 -1 -2	15393	5
4 -1 1 3 -1 -2	6456	2
1 -1 4 -1 1 -1 -2	15765	10
1 3 -1 1 -1 -2	17784	6
2 -1 1 -1 1 -1 -2	22511	11
1 -1 5 -1 1 -1 -2	51936	23
1 -1 1 -1 5 -1 -2	52303	25
5 -1 5 -1 3 -1 -2	20111	3
3 -1 4 -1 1 -1 -2	6284	1
2 -1 3 -1 -2	10970	2
2 -1 1 5 -1 -2	22467	8
2 -1 5 -1 1 -1 -2	21703	6
1 6 -1 1 -1 -2	5033	4
2 -1 3 5 -1 -2	9368	2
1 -1 1 -1 -2	70650	42
4 -1 4 -1 5 -1 -2	13898	4
1 4 -1 3 -1 -2	6462	1
6 -1 5 -1 1 -1 -2	5009	2
2 4 -1 1 -1 -2	6643	2
3 4 -1 1 -1 -2	5151	2
4 -1 4 -1 1 -1 -2	13060	4
1 -1 1 2 -1 -2	22025	10
1 -1 -2	78307	31
2 -1 2 4 -1 -2	6299	2
5 -1 2 -1 3 -1 -2	9205	3
1 -1 1 4 -1 -2	15491	5
2 -1 -2	35459	8
5 -1 1 -1 -2	61810	14
1 2 -1 5 -1 -2	20731	5
1 -1 5 -1 4 -1 -2	15286	2
2 -1 1 6 -1 -2	2548	1
1 -1 3 4 -1 -2	5156	3
1 -1 3 -1 -2	21824	5
1 -1 1 5 -1 -2	52586	25
5 -1 2 -1 -2	29654	7
3 -1 -2	28139	4
1 -1 4 -1 2 -1 -2	8067	2
3 -1 1 -1 3 -1 -2	15572	4
1 3 4 -1 -2	4864	1
1 -1 5 -1 -2	61318	15
1 6 -1 6 -1 -2	3702	1
2 -1 2 -1 1 -1 -2	20151	2
3 -1 1 2 -1 -2	8671	1
2 -1 2 -1 2 -1 -2	21226	3
1 -1 1 -1 3 -1 -2	18760	8
2 -1 1 -1 2 -1 -2	19521	8
2 -1 1 -1 -2	27049	2
4 -1 2 -1 1 -1 -2	8106	2
3 -1 1 5 -1 -2	17774	4
5 -1 5 -1 5 -1 -2	67993	6
1 5 -1 -2	58721	13
5 -1 5 -1 -2	77235	12
1 -1 2 -1 5 -1 -2	21922	4
1 5 -1 5 -1 -2	53389	8
1 -1 2 6 -1 -2	2050	1
1 -1 6 -1 -2	6363	3
4 -1 4 -1 -2	18570	3
2 5 -1 2 -1 -2	22176	4
1 -1 2 -1 2 -1 -2	19702	9
4 -1 1 2 -1 -2	8038	3
6 -1 2 -1 6 -1 -2	1806	1
1 3 -1 2 -1 -2	8793	1
1 3 -1 5 -1 -2	16601	2
3 -1 2 -1 -2	11008	2
2 -1 4 -1 1 -1 -2	7860	3
4 -1 1 -1 4 -1 -2	12815	3
3 -1 1 -1 -2	21603	7
5 -1 4 -1 -2	20126	3
1 -1 3 -1 5 -1 -2	17302	5
4 -1 1 4 -1 -2	12958	5
4 -1 5 -1 -2	19886	3
1 -1 4 -1 3 -1 -2	6391	2
2 -1 5 -1 -2	29118	3
5 -1 4 -1 4 -1 -2	13850	1
4 -1 1 -1 5 -1 -2	14954	3
1 -1 5 -1 5 -1 -2	52799	10
5 -1 1 2 -1 -2	21050	3
5 -1 5 -1 1 -1 -2	53691	17
1 -1 1 -1 4 -1 -2	16021	6
5 -1 3 -1 1 -1 -2	17399	2
5 -1 1 -1 3 -1 -2	17533	4
1 -1 1 3 -1 -2	18024	5
1 2 -1 1 -1 -2	21787	9
4 5 -1 1 -1 -2	15060	7
1 -1 5 -1 2 -1 -2	22200	5
5 -1 1 3 -1 -2	16805	2
3 5 -1 -2	21740	3
3 -1 1 -1 4 -1 -2	6261	2
6 -1 1 -1 2 -1 -2	2617	1
1 -1 4 -1 -2	18891	6
2 -1 3 -1 2 -1 -2	7886	1
3 -1 5 -1 4 -1 -2	6575	1
1 2 3 -1 -2	6676	2
