#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

5 -1 -2	79484	1503
2 -1 1 -1 -2	21315	91
3 -1 -2	23671	470
1 -1 -2	73559	3452
1 -1 1 -1 -2	64891	419
4 -1 -2	20290	352
1 5 -1 5 -1 -2	45912	10
2 -1 -2	30264	726
5 -1 5 -1 -2	71773	129
1 3 -1 -2	15747	37
4 -1 4 -1 1 3 -1 -2	2844	1
2 -1 2 -1 1 -1 -2	15340	6
2 -1 1 5 -1 -2	17037	12
4 -1 5 -1 -2	15379	20
5 -1 1 -1 4 -1 -2	11129	6
6 -1 -2	6355	97
1 -1 1 -1 4 -1 4 -1 4 -1 -2	3556	1
1 -1 5 -1 -2	53270	197
5 -1 2 -1 -2	23609	49
1 -1 5 -1 2 -1 -2	16412	5
2 -1 4 -1 3 -1 1 -1 -2	1695	1
2 -1 4 -1 2 -1 1 -1 2 -1 -2	1849	1
5 -1 1 2 -1 -2	15950	4
1 -1 5 -1 5 -1 -2	43934	9
2 -1 4 -1 -2	7089	11
3 -1 2 -1 -2	7834	16
1 -1 4 5 -1 4 -1 5 -1 -2	5696	1
2 -1 2 -1 -2	23972	56
1 -1 4 -1 4 -1 -2	9719	4
3 -1 5 -1 -2	17710	32
1 2 -1 2 3 -1 -2	4022	1
1 -1 4 -1 -2	14488	42
2 -1 1 -1 2 -1 -2	14683	6
5 -1 1 3 -1 -2	12628	4
1 5 -1 -2	51526	144
2 5 -1 2 -1 4 -1 -2	4251	1
5 -1 1 -1 -2	53581	160
1 4 -1 -2	13466	39
4 -1 1 -1 5 -1 1 -1 -2	8199	1
1 5 -1 1 -1 1 -1 -2	37580	2
3 -1 3 5 -1 -2	13098	1
5 -1 5 -1 5 -1 -2	60499	15
1 -1 5 -1 1 -1 -2	43146	17
1 -1 6 -1 -2	4784	19
4 5 -1 4 5 -1 -2	9828	1
1 -1 1 -1 1 -1 -2	53798	49
3 -1 5 -1 1 -1 -2	12424	2
4 -1 1 -1 -2	14370	48
6 -1 5 -1 1 -1 6 -1 5 -1 -2	1195	1
5 -1 1 5 -1 -2	45940	12
1 2 -1 1 -1 -2	17034	9
3 -1 3 5 -1 2 -1 1 -1 -2	3146	1
3 -1 3 -1 -2	18246	34
5 -1 1 -1 1 -1 1 -1 -2	32393	2
2 -1 1 -1 1 4 -1 2 3 -1 4 5 -1 -2	561	1
3 5 -1 -2	17269	38
4 -1 4 -1 -2	15327	27
2 -1 5 -1 5 -1 -2	19165	4
1 2 -1 2 -1 1 -1 -2	12205	2
3 5 -1 3 -1 1 -1 -2	8966	1
4 5 -1 -2	14651	14
